0 | 100
94 10 41 49 15 70 5 58 45 75 34 39 73 83 90 94 37 80 46 15 0 | 1
49 1 31 33 40 12 68 21 99 21 59 9 5 20 18 77 84 33 47 87 74 94 45 28 69 | 12
37 61 57 97 54 5 50 93 82 4 10 75 57 23 28 29 87 90 | 5
96 64 88 56 80 87 12 7 14 23 49 15 79 69 85 6 85 | 8
66 78 72 15 19 15 69 81 90 26 95 37 47 32 78 24 46 92 17 | 7
86 71 60 74 11 67 56 | 2
17 74 32 86 5 59 35 19 89 61 96 92 64 63 91 73 | 3
75 16 64 69 10 | 2
45 29 66 44 89 49 2 83 52 85 89 76 69 58 98 71 63 96 67 2 79 99 35 99 70 | 7
39 10 14 51 4 78 23 60 63 54 92 20 55 1 36 63 | 4
98 3 67 46 75 8 | 1
14 22 26 78 50 52 27 94 14 52 76 18 6 41 59 | 3
83 94 12 34 44 17 4 35 88 68 60 72 41 85 45 25 93 96 25 | 9
1 2 3 | 1000000000000
32 74 95 13 42 44 88 7 63 83 | 1
25 28 86 30 35 0 49 72 27 80 64 75 77 29 36 21 64 15 18 50 11 5 76 64 72 | 11
5 5 5 5 5 5 5 5 5 5 0 | 3
52 72 95 62 14 67 97 19 14 69 36 62 1 36 96 | 4
8 47 72 18 75 1 66 46 79 5 56 12 | 2
